2025-06-16 15:35:17 | INFO | voice_audio_recorder | 偵測到 5 個音訊設備
2025-06-16 15:35:17 | INFO | voice_audio_recorder | 預設輸入設備: Air6
2025-06-16 15:35:17 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-16 15:35:17 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-16 15:35:17 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-16 15:35:18 | INFO | voice_audio_recorder | 偵測到 5 個音訊設備
2025-06-16 15:35:18 | INFO | voice_audio_recorder | 預設輸入設備: Air6
2025-06-16 15:35:18 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-16 15:35:18 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-16 15:35:18 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-16 15:35:31 | INFO | voice_audio_recorder | 偵測到 5 個音訊設備
2025-06-16 15:35:31 | INFO | voice_audio_recorder | 預設輸入設備: Air6
2025-06-16 15:35:31 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-16 15:35:31 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-16 15:35:31 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-16 15:36:02 | INFO | voice_audio_recorder | 偵測到 5 個音訊設備
2025-06-16 15:36:02 | INFO | voice_audio_recorder | 預設輸入設備: Air6
2025-06-16 15:36:02 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-16 15:36:02 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-16 15:36:02 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-16 15:39:30 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-16 15:39:30 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-16 15:39:30 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-16 15:39:30 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-16 15:39:30 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-16 15:39:49 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-16 15:39:49 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-16 15:39:49 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-16 15:39:49 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-16 15:39:49 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-16 15:40:19 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-16 15:40:19 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-16 15:40:19 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
