2025-06-16 15:35:17 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-16 15:35:17 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-16 15:35:17 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-16 15:35:18 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-16 15:35:18 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-16 15:35:18 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-16 15:35:31 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-16 15:35:31 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-16 15:35:31 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-16 15:36:02 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-16 15:36:02 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-16 15:36:02 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-16 15:39:30 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-16 15:39:30 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-16 15:39:30 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-16 15:39:30 | INFO | LocalVoiceVerifyingLibrary | 開始語音檢測流程: 播放='Hey Power Pro', 檢測='登登', 時長=10秒
2025-06-16 15:39:30 | ERROR | voice_sound_detector | 找不到參考聲音檔案: 登登
2025-06-16 15:39:30 | WARNING | LocalVoiceVerifyingLibrary | 參考聲音 '登登' 載入失敗，嘗試建立範例檔案
2025-06-16 15:39:30 | INFO | LocalVoiceVerifyingLibrary | 已建立參考聲音指引檔案: /Users/owenke/source/github.com/robot-test-project/libraries/local_voice_verifying/audio_samples/reference_sounds/登登_sample.txt
2025-06-16 15:39:30 | ERROR | voice_sound_detector | 找不到參考聲音檔案: 登登
2025-06-16 15:39:30 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-16 15:39:30 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-16 15:39:30 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-16 15:39:30 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-16 15:39:49 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-16 15:39:49 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-16 15:39:49 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-16 15:40:19 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-16 15:40:19 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-16 15:40:19 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-16 15:40:19 | INFO | LocalVoiceVerifyingLibrary | 開始語音檢測流程: 播放='Hey Power Pro', 檢測='登登', 時長=10秒
2025-06-16 15:40:19 | ERROR | voice_sound_detector | 找不到參考聲音檔案: 登登
2025-06-16 15:40:19 | WARNING | LocalVoiceVerifyingLibrary | 參考聲音 '登登' 載入失敗，嘗試建立範例檔案
2025-06-16 15:40:19 | INFO | LocalVoiceVerifyingLibrary | 已建立參考聲音指引檔案: /Users/owenke/source/github.com/robot-test-project/libraries/local_voice_verifying/audio_samples/reference_sounds/登登_sample.txt
2025-06-16 15:40:19 | ERROR | voice_sound_detector | 找不到參考聲音檔案: 登登
2025-06-16 15:40:19 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-16 15:40:19 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-16 15:40:19 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-16 15:40:19 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:31:43 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-17 09:31:43 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-17 09:31:43 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:31:43 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:31:43 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:31:43 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:31:43 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-17 09:31:43 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-17 09:31:43 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-17 09:31:44 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:31:44 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:31:44 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:31:44 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:31:44 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:31:44 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:31:44 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:31:44 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:32:20 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-17 09:32:20 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-17 09:32:20 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-17 09:32:20 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:32:20 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:32:20 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:32:20 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:32:20 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:32:20 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:32:20 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:32:20 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
