2025-06-16 15:35:13 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 15:35:17 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 15:35:30 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 15:36:01 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 15:39:29 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 15:39:48 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 15:40:18 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 16:17:42 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 16:21:55 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 16:22:18 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 16:23:17 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 16:29:51 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 16:49:59 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 16:50:43 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 16:51:03 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 16:52:28 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 16:54:06 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 16:54:21 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 16:55:02 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 16:57:51 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 16:58:43 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-16 16:59:40 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 09:31:43 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 09:32:19 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 09:32:20 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 09:32:20 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 09:32:51 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 09:32:52 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 09:32:52 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 09:33:31 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 09:33:51 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 09:34:05 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 09:36:22 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 09:37:02 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 09:38:02 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 09:38:12 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 09:38:42 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 09:39:15 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 09:39:43 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 09:40:47 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 09:51:50 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 11:01:39 | INFO | libraries.local_voice_verifying.LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 11:04:37 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 11:04:47 | INFO | libraries.local_voice_verifying.LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 11:05:00 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 11:05:12 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
2025-06-17 11:07:50 | INFO | LocalVoiceVerifyingLibrary | 開始初始化核心模組...
