step_uid,case_external_id,step_number,step_action_raw,step_expected_raw,mapped_keyword_id,mapping_confidence,mapping_notes,mapping_status
CCU-231098-1,CCU-231098,1,點擊允許,進入下一步,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231099-1,CCU-231099,1,點擊拒絕,進入下一步,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231100-1,CCU-231100,1,點擊使用應用程式時,進入下一步,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231101-1,CCU-231101,1,點擊僅允許這一次,進入下一步,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231102-1,CCU-231102,1,點擊不允許,進入下一步,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231103-1,CCU-231103,1,點擊允許,進入下一步,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231104-1,CCU-231104,1,點擊不允許,進入下一步,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231105-1,CCU-231105,1,查看 APP,出現隱私權政策,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231106-1,CCU-231106,1,點擊 APP 隱私權政策 的 Privacy Policy,隱私權政策 有可以點擊的 Privacy Policy,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231107-1,CCU-231107,1,查看 APP,進入隱私權政策顯示內文,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231108-1,CCU-231108,1,查看 APP 左上角,有返回鍵,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231109-1,CCU-231109,1,查看 APP 下方是否有 AGREE 按鈕,有 AGREE 按鈕並且可以按,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231110-1,CCU-231110,1,查看 APP,出現 press bluetooth button to start connecting your,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231111-1,CCU-231111,1,點擊面板藍牙按鈕,APP 顯示 ID,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231112-1,CCU-231112,1,查看 APP,有顯示可連線的 ID,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231113-1,CCU-231113,1,點擊 APP 上的 ID,有 ID 可以點擊,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231114-1,CCU-231114,1,查看 APP,出現倒數30秒,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231115-1,CCU-231115,1,注意聽面板提示聲音,面板提示需要按面板藍牙按鈕兩次,,,,unmapped
CCU-231116-1,CCU-231116,1,點擊面板藍牙按鈕兩次,藍牙按鈕可以點擊,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231118-1,CCU-231118,1,輸入 Email,可以正常輸入 Email,KW-ALIAS-INPUT,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231119-1,CCU-231119,1,點擊新增 Google 如引導完成,可以正常連上 Google 並且引導成功登入,KW-ALIAS-CLICK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-231120-1,CCU-231120,1,Google帳號登入後,顯示登入成功,,,,unmapped
CCU-231121-1,CCU-231121,1,查看 APP,進入到控制頁面,KW-ALIAS-CHECK,manual,auto-seeded by high-level action verb; needs human confirmation,manual_only
CCU-230565-1,CCU-230565,1,1.手機APP正常開啟,APP開啟正常,,,,unmapped
CCU-230565-2,CCU-230565,2,,,,,,unmapped
CCU-230702-1,CCU-230702,1,1.點選合約,顯示合約頁,,,,unmapped
CCU-230703-1,CCU-230703,1,1.點不同意,無法進入下一步,,,,unmapped
CCU-230704-1,CCU-230704,1,1.點同意,進入下一步,,,,unmapped
