category,raw_term,canonical_term,count,note
verb,呼叫,呼叫,128,exclude water-related cases
verb,查看,查看,110,exclude water-related cases
verb,APP,APP,98,exclude water-related cases
verb,長按面板,長按面板,90,exclude water-related cases
verb,1.在,1.在,43,exclude water-related cases
verb,透過,透過,42,exclude water-related cases
verb,1.查看手機,1.查看手機,36,exclude water-related cases
verb,test,test,35,exclude water-related cases
verb,步驟,步驟,31,exclude water-related cases
verb,import,import,26,exclude water-related cases
verb,點擊,點擊,23,exclude water-related cases
verb,觀察,觀察,19,exclude water-related cases
verb,1.點擊,1.點擊,18,exclude water-related cases
verb,switch,switch,18,exclude water-related cases
verb,manual,manual,18,exclude water-related cases
verb,1.LCD,1.LCD,17,exclude water-related cases
verb,1.APP,1.APP,16,exclude water-related cases
verb,Light,Light,16,exclude water-related cases
verb,modify,modify,16,exclude water-related cases
verb,長壓點擊,長壓點擊,15,exclude water-related cases
verb,enter,enter,13,exclude water-related cases
verb,觸發更新檢查。,觸發更新檢查。,12,exclude water-related cases
verb,檢查顯示文字,檢查顯示文字,12,exclude water-related cases
verb,點擊Disconnect,點擊Disconnect,12,exclude water-related cases
verb,點擊Custom,點擊Custom,12,exclude water-related cases
verb,1.點選面板藍牙按鈕10秒,1.點選面板藍牙按鈕10秒,10,exclude water-related cases
verb,短暫點擊,短暫點擊,10,exclude water-related cases
verb,觀察延伸車架電機是否啟動並有輕微移動。,觀察延伸車架電機是否啟動並有輕微移動。,10,exclude water-related cases
verb,短暫點擊「收回」按鈕。,短暫點擊「收回」按鈕。,10,exclude water-related cases
verb,觀察延伸車架電機是否反向啟動並有輕微移動。,觀察延伸車架電機是否反向啟動並有輕微移動。,10,exclude water-related cases
verb,長壓「收回」按鈕。,長壓「收回」按鈕。,10,exclude water-related cases
verb,觀察延伸車架電機是否反向啟動並如長壓時間移動。,觀察延伸車架電機是否反向啟動並如長壓時間移動。,10,exclude water-related cases
verb,LCD,LCD,10,exclude water-related cases
verb,1.查看,1.查看,9,exclude water-related cases
verb,1.手機,1.手機,9,exclude water-related cases
verb,app,app,9,exclude water-related cases
verb,1.手機操作（已連上藍牙）,1.手機操作（已連上藍牙）,9,exclude water-related cases
verb,開啟關閉,開啟關閉,8,exclude water-related cases
verb,設定關閉,設定關閉,8,exclude water-related cases
verb,麥克風LED,麥克風LED,8,exclude water-related cases
noun,app,app,421,exclude water-related cases
noun,panel,panel,240,exclude water-related cases
noun,button,button,193,exclude water-related cases
noun,bluetooth,bluetooth,102,exclude water-related cases
noun,voice,voice,84,exclude water-related cases
noun,wifi,wifi,49,exclude water-related cases
noun,version,version,20,exclude water-related cases
noun,password,password,9,exclude water-related cases
noun,login,login,7,exclude water-related cases
noun,email,email,6,exclude water-related cases
