testcase_external_id,testcase_name,suite,automation_policy,note
CCU-231154,FRESH 水位在高,01. Smoke Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
CCU-231157,GRAY_1 水位在高,01. Smoke Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
CCU-231160,BLACK_1 水位在高,01. Smoke Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
CCU-231163,GRAY_2 水位在高,01. Smoke Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
CCU-231166,GRAY_3 水位在高,01. Smoke Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
CCU-231169,BLACK_2 水位在高,01. Smoke Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
CCU-231190,FRESH 水位在高,01. Smoke Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
CCU-231193,GRAY_1 水位在高,01. Smoke Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
CCU-231196,BLACK_1 水位在高,01. Smoke Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
CCU-231199,GRAY_2 水位在高,01. Smoke Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
CCU-231202,GRAY_3 水位在高,01. Smoke Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
CCU-231205,BLACK_2 水位在高,01. Smoke Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
CCU-231208,FRESH 水位在高,01. Smoke Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
CCU-231211,GRAY_1 水位在高,01. Smoke Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
CCU-231214,BLACK_1 水位在高,01. Smoke Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
CCU-231217,GRAY_2 水位在高,01. Smoke Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
CCU-231220,GRAY_3 水位在高,01. Smoke Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
CCU-231223,BLACK_2 水位在高,01. Smoke Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
CCU-231262,FRESH 水位在高 [ 查看LCD ],02. Function Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
CCU-231265,GRAY_1 水位在高 [ 查看LCD ],02. Function Tests,automation_candidate,依需求：水箱僅保留「預設滿水位/水位在高」檢查可評估自動化
