testcase_external_id,testcase_name,suite,automation_policy,note
CCU-230489,#1456 語音命令 Check Tank Levels 必須回應所有 啟動中的水箱資訊,06. Regression Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
CCU-230550,#1248 啟動-B模組上的水箱液位輸入將繼續引起通知，即使水箱被停用。,06. Regression Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
CCU-230698,#1690 水箱在回應Gray Tank 3聲音反應模糊不清,06. Regression Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
CCU-231155,FRESH 水位在中,01. Smoke Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
CCU-231156,FRESH 水位在低,01. Smoke Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
CCU-231158,GRAY_1 水位在中,01. Smoke Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
CCU-231159,GRAY_1 水位在低,01. Smoke Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
CCU-231161,BLACK_1 水位在中,01. Smoke Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
CCU-231162,BLACK_1 水位在低,01. Smoke Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
CCU-231164,GRAY_2 水位在中,01. Smoke Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
CCU-231165,GRAY_2 水位在低,01. Smoke Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
CCU-231167,GRAY_3 水位在中,01. Smoke Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
CCU-231168,GRAY_3 水位在低,01. Smoke Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
CCU-231170,BLACK_2 水位在中,01. Smoke Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
CCU-231171,BLACK_2 水位在低,01. Smoke Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
CCU-231191,FRESH 水位在中,01. Smoke Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
CCU-231192,FRESH 水位在低,01. Smoke Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
CCU-231194,GRAY_1 水位在中,01. Smoke Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
CCU-231195,GRAY_1 水位在低,01. Smoke Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
CCU-231197,BLACK_1 水位在中,01. Smoke Tests,manual_only,依需求：水箱除「預設滿水位」外，其餘暫不自動化
